time="2026-07-07T04:05:43+02:00" level=warning msg="/Users/bemmgr/allCodes/thesisProject/studio/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
studio-api-1  | HTTP GET /api/v1/generator/prototypes/?system=7d735a07-b6cd-409d-9cc7-f3a07cbec983 200 [0.02, 172.18.0.2:60562]
studio-api-1  | HTTP GET /api/v1/metadata/interfaces/?system=7d735a07-b6cd-409d-9cc7-f3a07cbec983 200 [0.02, 172.18.0.2:60542]
studio-api-1  | HTTP GET /api/v1/generator/prototypes/active_prototype/ 200 [0.03, 172.18.0.2:60550]
studio-api-1  | HTTP GET /api/v1/metadata/systems/7d735a07-b6cd-409d-9cc7-f3a07cbec983/ 200 [0.03, 172.18.0.2:60570]
studio-api-1  | HTTP GET /api/v1/metadata/systems/7d735a07-b6cd-409d-9cc7-f3a07cbec983/classes/ 200 [0.03, 172.18.0.2:60562]
studio-api-1  | HTTP GET /api/v1/metadata/systems/7d735a07-b6cd-409d-9cc7-f3a07cbec983/classifier-relations/ 200 [0.03, 172.18.0.2:60542]
studio-api-1  | HTTP GET /api/v1/diagram/system/7d735a07-b6cd-409d-9cc7-f3a07cbec983/ 200 [0.06, 172.18.0.2:60558]
studio-api-1  | HTTP GET /api/v1/generator/prototypes/active_prototype/ 200 [0.03, 172.18.0.2:60550]
studio-api-1  | HTTP GET /api/v1/generator/prototypes/ab8b594fe0a0b350060315e621f269ddf6050744db67cec2d8c2fd19e962dbdf 200 [0.01, 172.18.0.2:60558]
studio-api-1  | HTTP GET /api/v1/generator/prototypes/active_prototype/ 200 [0.01, 172.18.0.2:60550]
studio-api-1  | HTTP POST /api/v1/generator/prototypes/run/ee40bbac-ca04-4e42-83a6-589b24f8d8e0 200 [2.03, 172.18.0.2:60550]
studio-api-1  | HTTP GET /api/v1/generator/prototypes/active_prototype/ 200 [0.01, 172.18.0.2:60550]
studio-api-1  | HTTP OPTIONS /api/v1/generator/prototypes/active_prototype/ 200 [0.00, 172.18.0.2:60550]
studio-api-1  | HTTP GET /api/v1/generator/prototypes/active_prototype/ 200 [0.02, 172.18.0.2:60550]
studio-prototypes-1  | 172.18.0.5 - - [07/Jul/2026 02:01:16] "GET /active_prototype HTTP/1.1" 200 -
studio-prototypes-1  | 172.18.0.5 - - [07/Jul/2026 02:01:16] "GET /active_prototype HTTP/1.1" 200 -
studio-prototypes-1  | 172.18.0.5 - - [07/Jul/2026 02:01:16] "GET /active_prototype HTTP/1.1" 200 -
studio-prototypes-1  | Watching for file changes with StatReloader
studio-prototypes-1  | 172.18.0.5 - - [07/Jul/2026 02:01:18] "[32mPOST /run HTTP/1.1[0m" 307 -
studio-prototypes-1  | 172.18.0.5 - - [07/Jul/2026 02:01:21] "GET /active_prototype HTTP/1.1" 200 -
studio-prototypes-1  | 172.18.0.5 - - [07/Jul/2026 02:01:24] "GET /active_prototype HTTP/1.1" 200 -
studio-prototypes-1  | [07/Jul/2026 02:01:24] "GET / HTTP/1.1" 200 2766
studio-prototypes-1  | [07/Jul/2026 02:01:24] "GET /static/authentication/authentication_style.css HTTP/1.1" 200 1349
studio-prototypes-1  | Not Found: /favicon.ico
studio-prototypes-1  | [07/Jul/2026 02:01:24] "GET /favicon.ico HTTP/1.1" 404 3125
studio-prototypes-1  | [07/Jul/2026 02:02:12] "GET / HTTP/1.1" 200 2766
studio-prototypes-1  | [07/Jul/2026 02:02:12] "GET /static/authentication/authentication_style.css HTTP/1.1" 200 1349
studio-prototypes-1  | Not Found: /favicon.ico
studio-prototypes-1  | [07/Jul/2026 02:02:12] "GET /favicon.ico HTTP/1.1" 404 3125
studio-prototypes-1  | [07/Jul/2026 02:02:12] "POST /login HTTP/1.1" 302 0
studio-prototypes-1  | [07/Jul/2026 02:02:12] "GET /member/ HTTP/1.1" 200 1152
studio-prototypes-1  | [07/Jul/2026 02:02:12] "GET /static/member/member_style.css HTTP/1.1" 200 4572
studio-prototypes-1  | [07/Jul/2026 02:02:13] "GET /member/render_member_customers HTTP/1.1" 200 2614
studio-prototypes-1  | [07/Jul/2026 02:04:32] "GET / HTTP/1.1" 200 2766
studio-prototypes-1  | [07/Jul/2026 02:04:32] "GET /static/authentication/authentication_style.css HTTP/1.1" 200 1349
studio-prototypes-1  | Not Found: /favicon.ico
studio-prototypes-1  | [07/Jul/2026 02:04:32] "GET /favicon.ico HTTP/1.1" 404 3125
studio-prototypes-1  | [07/Jul/2026 02:04:33] "POST /login HTTP/1.1" 302 0
studio-prototypes-1  | [07/Jul/2026 02:04:33] "GET /member/ HTTP/1.1" 200 1152
studio-prototypes-1  | [07/Jul/2026 02:04:33] "GET /static/member/member_style.css HTTP/1.1" 200 4572
studio-prototypes-1  | [07/Jul/2026 02:04:33] "GET /member/render_member_customers HTTP/1.1" 200 2614
studio-prototypes-1  | [07/Jul/2026 02:04:33] "GET /member/render_member_customers?custom_Customer_generate_reading_plan=1 HTTP/1.1" 200 2645
